URN:CornellLabOfOrnithology:EBIRD:OBS95723968	2015-06-14 21:43:17	541	species	Bufflehead	Bucephala albeola			6				United States	US	New York	US-NY	Seneca	US-NY-099	US-NY_1726	13	USFWS_268		Montezuma NWR--Mays Point Pool and road	L99392	H	42.9946205	-76.7637599	2010-04-27	08:10:00	obsr20741	IBA	Monitoring	S6676524	eBird - Traveling Count	EBIRD	125	1.609		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS132993887	2014-11-26 11:48:22	541	species	Bufflehead	Bucephala albeola			10				United States	US	New York	US-NY	Kings	US-NY-047	US-NY_1722				Dead Horse Point	L169814	H	40.579594	-73.89466	2011-12-11	10:26:00	obsr167796	SEANET	Data	S9338930	eBird - Traveling Count	EBIRD	90	2.012		1	1	G324438	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS88767181	2017-01-21 14:40:58	541	species	Bufflehead	Bucephala albeola			31				United States	US	New York	US-NY	Oswego	US-NY-075	US-NY_768	13			Three Mile Bay WMA--Phillips Pt.	L298675	H	43.2392316	-76.0503864	2010-03-29	12:30:00	obsr14521	Bill	Purcell	S6208821	eBird - Stationary Count	EBIRD	45			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS122344583	2013-01-11 16:26:12	541	species	Bufflehead	Bucephala albeola			5				United States	US	New York	US-NY	Suffolk	US-NY-103		30			Southampton	L581086	P	40.8839288	-72.3937225	2010-01-07	10:15:00	obsr150000	Eileen	Schwinn	S8524060	eBird - Traveling Count	EBIRD	120	11.265		1	1		0	1	0		on the way to work.  bullhead frozen, open water along bulkheading. no black guillemot		
URN:CornellLabOfOrnithology:EBIRD:OBS101754271	2013-01-11 14:51:08	541	species	Bufflehead	Bucephala albeola			26				United States	US	New York	US-NY	Suffolk	US-NY-103	US-NY_782	30			Dam Pond	L137721	P	41.1336632	-72.3326111	2010-11-20	12:01:00	obsr19954	John	Sepenoski	S7135223	eBird - Traveling Count	EBIRD	40	1.931		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS86877687	2013-10-31 11:59:07	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Saratoga	US-NY-091		14			Squashville Rd	L770099	P	43.1271496	-73.8785183	1990-04-08	05:55:00	obsr158489	Craig	Fosdick	S6083551	eBird - Traveling Count	EBIRD	180	1.609		1	1		0	1	0		Cold, sunny, 0-5 mph, 25-32 F. HOME displaying (3 pairs), ATSP singing.		
URN:CornellLabOfOrnithology:EBIRD:OBS103395549	2014-07-11 16:05:26	541	species	Bufflehead	Bucephala albeola			15				United States	US	New York	US-NY	Kings	US-NY-047		30			Coney Island Creek	L845821	H	40.5811388	-73.9927912	2010-12-17	13:00:00	obsr106513	Tom	Preston	S7261616	eBird - Stationary Count	EBIRD	20				1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS133196858	2015-05-05 19:59:11	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Nassau	US-NY-059		30			Oceanside Marine Nature Study Area	L213321	H	40.6233726	-73.6242225	2005-12-21	09:00:00	obsr136550	Michael	Farina	S9354769	eBird - Traveling Count	EBIRD	480	1.609	21.0437	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS133154028	2014-08-04 11:09:36	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Nassau	US-NY-059		30			Oceanside Marine Nature Study Area	L213321	H	40.6233726	-73.6242225	2006-12-12	09:00:00	obsr136550	Michael	Farina	S9353454	eBird - Traveling Count	EBIRD	480	1.609	21.0437	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS147248439	2017-02-21 09:29:23	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Onondaga	US-NY-067		13			Skaneateles Lake, North Village Parks	L276075	H	42.945145	-76.4294109	2012-04-05	07:09:00	obsr56045	Ken	Burdick	S10368560	eBird - Stationary Count	EBIRD	21			1	1		0	1	0		Loon count from City of Syracuse pier - continued, sunrise 06:39. --same conditions, with 38 deg F, waves 2 inches nearby increasing to 8 inches at 3/4 mile.		
URN:CornellLabOfOrnithology:EBIRD:OBS56878139	2015-03-14 15:47:01	541	species	Bufflehead	Bucephala albeola			1				United States	US	New York	US-NY	Kings	US-NY-047	US-NY_862	30			Prospect Park	L109516	H	40.6602841	-73.9689534	1998-11-03		obsr161109	NYC Bird	Report Data	S4111082	eBird - Casual Observation	EBIRD					1		0	1	0		Jonathan Rosenthal	Male. Prospect Lake	
URN:CornellLabOfOrnithology:EBIRD:OBS132986708	2012-11-04 21:26:05	541	species	Bufflehead	Bucephala albeola			5				United States	US	New York	US-NY	New York	US-NY-061	US-NY_2793	30			Central Park--The Pool	L318103	H	40.7947416	-73.9606707	2010-12-14	11:05:00	obsr189916	Stephen	Chang	S9338408	eBird - Traveling Count	EBIRD	20	.161		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS136143879	2015-09-13 07:56:32	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Queens	US-NY-081	US-NY_1722	30			Jamaica Bay Wildlife Refuge	L165143	H	40.6170296	-73.8244561	2012-01-14	10:30:00	obsr288234	Roberta	Manian	S9585417	eBird - Traveling Count	EBIRD	240	4.828		2	1	G340046	0	1	0		Bobbi Manian and myself		
URN:CornellLabOfOrnithology:EBIRD:OBS116180604	2013-12-11 11:56:20	541	species	Bufflehead	Bucephala albeola			19				United States	US	New York	US-NY	Oswego	US-NY-075		13			Mexico Point Parks	L350020	P	43.5240766	-76.2596184	2011-04-23	15:04:00	obsr56045	Ken	Burdick	S8111390	eBird - Traveling Count	EBIRD	54	1.448		1	1		0	1	0		Spy island, along edges of lawn and beach, part of alder swamp on road. Binocs only. --61 deg F, sunny with thin overcast, wind from W.		
URN:CornellLabOfOrnithology:EBIRD:OBS130278730	2017-04-17 09:27:48	541	species	Bufflehead	Bucephala albeola			50				United States	US	New York	US-NY	Suffolk	US-NY-103	US-NY_2798	30			Mecox Inlet	L445366	H	40.89444	-72.32924	2011-11-15	09:30:00	obsr281700	Anthony	Collerton	S9121382	eBird - Stationary Count	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS127242530	2015-05-09 11:58:16	541	species	Bufflehead	Bucephala albeola			1				United States	US	New York	US-NY	Erie	US-NY-029	US-NY_755	13			Tifft Nature Preserve	L207765	H	42.8462509	-78.8594553	2010-03-27	08:15:00	obsr249488	Joseph	Fell	S8889912	eBird - Traveling Count	EBIRD	80	2.414		1	1		0	1	0		Sunny and 25 F		
