"URN:CornellLabOfOrnithology:EBIRD:OBS46325466	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325467	2017-03-09 21:32:19	3	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS80925662	2013-08-12 14:07:35	1	13	North Tonawanda - Home	L663618	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325469	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS83138220	2013-01-11 14:57:36	3	30	Yard	L140623	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS99241505	2015-05-07 17:05:10	2	28	Boyer Creek Farm Pond Trail	L122741	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325472	2017-03-09 21:32:19	30	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS71706833	2013-11-21 23:51:42	1	13	Woodlawn Preserve	L373532	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS96117277	2010-07-31 21:03:38	1	13	morning commute (Schulenberg home-CLO)	L583117	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS80712443	2015-03-14 15:47:01	6	US-NY_862	30	Prospect Park	L109516"
"URN:CornellLabOfOrnithology:EBIRD:OBS62204062	2012-10-08 16:18:01	1	30	10701 Yonkers	L82339	PC"
"URN:CornellLabOfOrnithology:EBIRD:OBS74144383	2015-12-22 23:05:00	2	13	Hill Higher SF	L490896	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS60891051	2014-03-09 14:17:08	2	US-NY_1727	Jones Beach SP--West End	L109147	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS99708381	2013-12-09 17:59:22	1	13	Old Erie Canal SHP (State Historic Park)	L269872	H"
